,ls_id,release,brickid,brickname,objid,brick_primary,ra,dec,type,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,galdepth_g,galdepth_r,galdepth_i,galdepth_z,shape_r,fitbits,nobs_g,nobs_r,nobs_i,nobs_z,dist_arcsec
8627,10995329521422774,10000,203365,1915m227,4534,1,191.5387405073317,-22.86090163306453,PSF,0.038019568,0.33165473,0.41425103,0.6030172,1089.0533,1127.237,428.17065,138.66156,0.8202318,0.8750369,0.9065045,0.9280519,691.8183,722.999,225.10402,72.81562,0.0,0,4,5,4,4,597.957890959213
8628,10995329521422900,10000,203365,1915m227,4660,1,191.543332882345,-22.86384085715102,PSF,0.2514909,0.26648706,0.34213626,0.42848706,1046.5953,1105.3523,433.4005,138.9509,0.819837,0.8747531,0.9062883,0.9278835,691.8183,690.3617,225.10402,72.81562,0.0,8192,4,4,4,4,598.3208767561689
8629,10995329521422946,10000,203365,1915m227,4706,1,191.5451724441209,-22.86285026970624,PSF,0.11399537,0.14429256,0.12881663,0.041502647,1065.6987,1151.8804,437.81284,139.63907,0.81943876,0.8744669,0.90607023,0.9277137,691.8183,722.999,225.10402,72.81562,0.0,0,4,5,4,4,604.8375474999502
8630,10995329521422772,10000,203365,1915m227,4532,1,191.538666928264,-22.85875454882604,DEV,0.7035553,2.0102448,2.787998,3.3245926,639.4615,623.8686,215.50526,72.24873,0.8200438,0.87490183,0.90640163,0.9279717,691.8183,722.999,225.10402,72.81562,0.4901181,0,4,5,4,4,604.1659111136535
8631,10995329521422761,10000,203365,1915m227,4521,1,191.5382207485341,-22.857913751314,PSF,1.7382796,7.1235347,21.2825,33.745426,898.98035,705.2956,232.82788,92.49959,0.82001257,0.87487936,0.90638447,0.9279584,691.8183,722.999,225.10402,72.81562,0.0,128,4,5,4,4,605.8252227885746
8632,10995329521422827,10000,203365,1915m227,4587,1,191.5409596055358,-22.85917490949153,REX,0.2008924,0.17605354,0.3934465,0.53412294,573.01825,592.7878,178.9953,58.170982,0.8196998,0.8746546,0.9062132,0.92782503,691.8183,722.999,225.10402,72.81562,0.5786944,0,4,5,4,4,607.2778855646364
8633,10995329521422694,10000,203365,1915m227,4454,1,191.5359883791526,-22.8555708031589,REX,0.188095,0.28473085,0.46854323,0.47535017,928.09937,987.3484,345.78726,110.72628,0.82009363,0.8749376,0.9064289,0.92799294,691.8183,722.999,225.10402,72.81562,0.2156014,0,4,5,4,4,608.7168090152442
8634,10995329521422731,10000,203365,1915m227,4491,1,191.5371683602131,-22.8560156739368,PSF,0.14695929,0.15948151,0.20507184,0.1899636,1072.9822,1151.2515,437.53052,139.61194,0.8199445,0.8748304,0.9063472,0.9279294,691.8183,722.999,225.10402,72.81562,0.0,0,4,5,4,4,609.5398446169557
8635,10995329521422746,10000,203365,1915m227,4506,1,191.5379198079465,-22.85574317184022,REX,0.1643947,0.33172825,0.4496713,0.76980245,881.47314,934.09607,320.87402,101.87087,0.81977534,0.8747089,0.9062546,0.9278573,691.8183,722.999,225.10402,72.81562,0.26130527,0,4,5,4,4,611.7401656002842
8636,10995329521423151,10000,203365,1915m227,4911,1,191.5520010022776,-22.86275394839507,REX,0.12112077,0.4422827,0.83710414,1.0981951,947.10046,993.10846,348.6832,109.78416,0.8183533,0.87368643,0.90547556,0.92725044,691.8183,722.999,225.10402,72.81562,0.20125271,0,4,5,4,4,619.0202446642
